date,close
2005-02-25,93.6948
2005-02-28,93.0544
2005-03-01,93.5386
2005-03-02,93.4927
2005-03-03,93.5301
2005-03-04,94.7073
2005-03-07,94.7456
2005-03-08,94.3665
2005-03-09,93.3232
2005-03-10,93.5386
2005-03-11,92.8868
2005-03-14,93.464
2005-03-15,92.6812
2005-03-16,91.9098
2005-03-17,92.101
2005-03-18,91.4504
2005-03-21,91.1221
2005-03-22,90.2002
2005-03-23,90.274
2005-03-24,90.3851
2005-03-28,90.5114
2005-03-29,89.9035
2005-03-30,91.1841
2005-03-31,91.0088
2005-04-01,90.6001
2005-04-04,90.7544
2005-04-05,91.1938
2005-04-06,91.497
2005-04-07,92.0007
2005-04-08,91.0378
2005-04-11,91.1221
2005-04-12,91.5777
2005-04-13,90.5027
2005-04-14,89.3295
2005-04-15,88.0669
2005-04-18,88.3424
2005-04-19,89.0537
2005-04-20,87.7854
2005-04-21,89.5083
2005-04-22,89.1683
2005-04-25,89.7505
2005-04-26,88.8823
2005-04-27,89.2315
2005-04-28,88.1119
2005-04-29,89.312
2005-05-02,89.803
2005-05-03,89.9666
2005-05-04,90.6635
2005-05-05,90.6289
2005-05-06,90.3381
2005-05-09,90.8904
2005-05-10,89.9666
2005-05-11,90.4645
2005-05-12,89.471
2005-05-13,89.2854
2005-05-16,90.1198
2005-05-17,90.7086
2005-05-18,91.6523
2005-05-19,92.0455
2005-05-20,91.9098
2005-05-23,92.4159
2005-05-24,92.2142
2005-05-25,92.1394
2005-05-26,92.616
2005-05-27,92.7771
2005-05-31,92.195
2005-06-01,92.9691
2005-06-02,93.1749
2005-06-03,92.6812
2005-06-06,92.6083
2005-06-07,92.6715
2005-06-08,92.5167
2005-06-09,92.95
2005-06-10,92.7289
2005-06-13,93.0353
2005-06-14,93.2497
2005-06-15,93.4192
2005-06-16,93.6622
2005-06-17,93.6525
2005-06-20,93.6622
2005-06-21,93.7309
2005-06-22,93.8056
2005-06-23,92.481
2005-06-24,91.7987
2005-06-27,91.9375
2005-06-28,92.6812
2005-06-29,92.463
2005-06-30,91.9566
2005-07-01,92.2321
2005-07-05,92.9598
2005-07-06,92.195
2005-07-07,92.5549
2005-07-08,93.6144
2005-07-11,94.0766
2005-07-12,94.3186
2005-07-13,94.4605
2005-07-14,94.8489
2005-07-15,94.7819
2005-07-18,94.3855
2005-07-19,94.9064
2005-07-20,95.2317
2005-07-21,94.6977
2005-07-22,95.3178
2005-07-25,95.0413
2005-07-26,95.1743
2005-07-27,95.5096
2005-07-28,96.122
2005-07-29,95.4614
2005-08-01,95.3943
2005-08-02,95.9878
2005-08-03,96.256
2005-08-04,95.4517
2005-08-05,94.8203
2005-08-08,94.6404
2005-08-09,95.1935
2005-08-10,95.1648
2005-08-11,95.5382
2005-08-12,94.9351
2005-08-15,95.5382
2005-08-16,94.2842
2005-08-17,94.2748
2005-08-18,94.2651
2005-08-19,94.489
2005-08-22,94.489
2005-08-23,94.3093
2005-08-24,93.4735
2005-08-25,93.8153
2005-08-26,93.1749
2005-08-29,93.8813
2005-08-30,93.3903
2005-08-31,94.5839
2005-09-01,94.5081
2005-09-02,94.3283
2005-09-06,95.4327
2005-09-07,95.5859
2005-09-08,95.2891
2005-09-09,96.1505
2005-09-12,95.9495
2005-09-13,95.4041
2005-09-14,95.0604
2005-09-15,95.0032
2005-09-16,95.2891
2005-09-19,94.9552
2005-09-20,94.1512
2005-09-21,93.2955
2005-09-22,93.6334
2005-09-23,93.7031
2005-09-26,93.8056
2005-09-27,93.7874
2005-09-28,93.8716
2005-09-29,94.6499
2005-09-30,94.9255
2005-10-03,94.602
2005-10-04,93.5301
2005-10-05,92.307
2005-10-06,91.9749
2005-10-07,92.2886
2005-10-10,91.497
2005-10-11,91.3795
2005-10-12,90.6635
2005-10-13,90.6001
2005-10-14,91.5498
2005-10-17,91.9
2005-10-18,90.8904
2005-10-19,92.4159
2005-10-20,90.7897
2005-10-21,91.1479
2005-10-24,92.5633
2005-10-25,92.3586
2005-10-26,92.1107
2005-10-27,91.1221
2005-10-28,92.4351
2005-10-31,92.6715
2005-11-01,92.9598
2005-11-02,93.9387
2005-11-03,94.3283
2005-11-04,94.1991
2005-11-07,94.2996
2005-11-08,94.2996
2005-11-09,94.4229
2005-11-10,95.1743
2005-11-11,95.4807
2005-11-14,95.4232
2005-11-15,95.0786
2005-11-16,95.2798
2005-11-17,96.1793
2005-11-18,96.5619
2005-11-21,97.0026
2005-11-22,97.4233
2005-11-23,98.0278
2005-11-25,98.1117
2005-11-28,97.3572
2005-11-29,97.2312
2005-11-30,96.7625
2005-12-01,97.7492
2005-12-02,97.8725
2005-12-05,97.652
2005-12-06,97.8449
2005-12-07,97.2218
2005-12-08,97.1557
2005-12-09,97.4419
2005-12-12,97.548
2005-12-13,98.2665
2005-12-14,98.6296
2005-12-15,98.3608
2005-12-16,97.4711
2005-12-19,96.9634
2005-12-20,97.05
2005-12-21,97.1739
2005-12-22,97.7492
2005-12-23,97.7971
2005-12-27,96.8014
2005-12-28,97.0026
2005-12-29,96.6196
2005-12-30,96.0739
2006-01-03,97.7589
2006-01-04,98.2568
2006-01-05,98.3127
2006-01-06,99.0778
2006-01-09,99.3463
2006-01-10,99.4423
2006-01-11,99.7779
2006-01-12,99.3652
2006-01-13,99.2809
2006-01-17,98.9843
2006-01-18,98.6395
2006-01-19,98.9647
2006-01-20,97.1375
2006-01-23,97.5198
2006-01-24,97.6337
2006-01-25,97.7199
2006-01-26,98.3029
2006-01-27,99.1561
2006-01-30,99.0778
2006-01-31,98.4098
2006-02-01,99.0309
2006-02-02,97.9112
2006-02-03,97.3941
2006-02-06,97.6717
2006-02-07,96.8014
2006-02-08,97.6814
2006-02-09,97.5101
2006-02-10,97.7004
2006-02-13,97.5101
2006-02-14,98.5706
2006-02-15,98.8886
2006-02-16,99.652
2006-02-17,99.3747
2006-02-21,99.1165
2006-02-22,99.739
2006-02-23,99.5784
2006-02-24,99.8348
2006-02-27,99.8746
2006-02-28,98.9173
2006-03-01,99.8268
2006-03-02,99.8168
2006-03-03,99.3463
2006-03-06,98.8689
