product,effective_date,entry_date,selected_contract,cum_increase_pct,trailing_return,trailing_vol,cluster_week,completeness_fallback,included_flag,exclusion_reason
6E,2000-05-30,2000-05-30,200006,0.33333333333333326,0.0145735833509499,0.15566623315350747,2000-W22,False,True,
6E,2000-10-05,2000-10-05,200012,0.6000000000000001,-0.006628595699223146,0.13270900507300643,2000-W40,False,True,
6E,2001-02-01,2001-02-01,200103,0.5272727272727273,0.011628658270366316,0.15237595939278478,2001-W05,False,True,
6E,2001-03-29,2001-03-29,200106,0.06451612903225801,-0.05463914007339699,0.10869141159200026,2001-W13,False,True,
6E,2002-01-31,2002-01-31,200203,0.06666666666666665,-0.05063364642882506,0.07342944397452544,2002-W05,False,True,
6E,2002-08-01,2002-08-01,200209,0.2857142857142858,0.0038783473802463195,0.1475376596718169,2002-W31,False,True,
6E,2002-08-29,2002-08-29,200209,0.11111111111111116,0.0016284990876346758,0.10860653224004227,2002-W35,False,True,
6E,2003-05-08,2003-05-08,200306,0.2142857142857142,0.06717801151611907,0.08442439484104479,2003-W19,False,True,
6E,2003-06-05,2003-06-05,200309,0.17647058823529416,0.042099652274769604,0.11552870591534474,2003-W23,False,True,
6E,2004-01-30,2004-01-30,200403,0.29729729729729737,-0.006884984366448119,0.14203650846661678,2004-W05,False,True,
6E,2004-12-20,2004-12-20,200503,0.10000000000000009,0.028689096223421112,0.10163685556526601,2004-W52,False,True,
6E,2005-07-01,2005-07-01,200509,0.21052631578947367,-0.022422833758956942,0.10599574042760035,2005-W26,False,True,
6E,2007-12-10,2007-12-10,200803,0.2666666666666666,0.0027880742959417236,0.07725670916106216,2007-W50,False,True,
6E,2008-01-28,2008-01-28,200803,0.10526315789473695,0.008095006960981338,0.09953452190183847,2008-W05,False,True,
6E,2008-03-28,2008-03-28,200806,0.18181818181818188,0.03545528374646241,0.10041076104840757,2008-W13,False,True,
6E,2008-09-24,2008-09-24,200812,0.41666666666666674,0.006228843849668919,0.15456268899903267,2008-W39,False,True,
6E,2010-05-10,2010-05-10,201006,0.19999999999999996,-0.05958564157852588,0.12105366430585159,2010-W19,False,True,
6E,2010-11-19,2010-11-19,201012,0.06666666666666665,-0.01804985395641836,0.11591057336077851,2010-W46,False,True,
6E,2011-05-10,2011-05-10,201106,0.33333333333333326,-0.00173665425190288,0.1285906936461804,2011-W19,False,True,
6E,2013-07-16,2013-07-16,201309,0.11111111111111116,-0.013956697445856855,0.11180023105860407,2013-W29,False,True,
6E,2014-09-12,2014-09-12,201412,0.1428571428571428,-0.031215748885135182,0.06869213529754732,2014-W37,False,True,
6E,2014-10-31,2014-10-31,201503,0.050000000000000044,0.0013560405699382702,0.08254258318959684,2014-W44,True,True,
6E,2014-12-05,2014-12-05,201503,0.1428571428571428,-0.007210888040784861,0.08704022492800581,2014-W49,False,True,
6E,2015-01-09,2015-01-09,201503,0.08333333333333326,,,2015-W02,False,False,selected contract missing 1 of 33 window days (FORWARD fallback also incomplete)
6E,2015-05-01,2015-05-01,201509,0.06451612903225801,0.029990505272172945,0.12113678417165591,2015-W18,True,True,
6E,2015-07-01,2015-07-01,201509,0.07575757575757569,-0.019685675071030327,0.1107062698382432,2015-W27,False,True,
6E,2015-12-07,2015-12-07,201603,0.07575757575757569,,,2015-W50,False,False,selected contract missing 1 of 33 window days
6E,2016-06-27,2016-06-27,201609,0.09701492537313428,-0.009320823046981178,0.13054744065363247,2016-W26,False,True,
6E,2017-04-18,2017-04-18,201706,0.1272727272727272,-0.002412882243453672,0.06722004716841602,2017-W16,False,True,
6E,2020-08-28,2020-08-28,202012,0.19047619047619047,0.010742146812637557,0.06486478451124321,2020-W35,False,True,
6E,2020-10-09,2020-10-09,202012,0.15999999999999992,-0.0017709567792632281,0.06055861784489002,2020-W41,False,True,
6E,2021-04-16,2021-04-16,202106,0.10000000000000009,0.004846671140304633,0.05199372845931758,2021-W15,False,True,
6E,2022-02-25,2022-02-25,202206,0.09090909090909083,0.010841659557783897,0.07789228302862988,2022-W08,True,True,
6E,2022-07-15,2022-07-15,202209,0.10416666666666674,-0.041319206591442385,0.09665469661477345,2022-W28,False,True,
6J,2000-04-24,2000-04-24,200006,0.48571428571428577,0.007042652748965659,0.16888445149600095,2000-W17,False,True,
6J,2001-02-01,2001-02-01,200103,0.3999999999999999,-0.022615885214175988,0.1367928218284571,2001-W05,False,True,
6J,2001-05-03,2001-05-03,200106,0.3999999999999999,0.027073375225811918,0.11057773585280127,2001-W18,False,True,
6J,2002-04-09,2002-04-09,200206,0.4285714285714286,-0.023736924581612955,0.08668023805554399,2002-W15,False,True,
6J,2004-03-25,2004-03-25,200406,0.26923076923076916,0.03237015780825328,0.1003445470453697,2004-W13,False,True,
6J,2004-05-27,2004-05-27,200406,0.39393939393939403,-0.008610275073280023,0.13687523820389755,2004-W22,False,True,
6J,2005-01-14,2005-01-14,200503,0.1515151515151516,0.024385178657661377,0.10808139053094767,2005-W02,False,True,
6J,2005-07-26,2005-07-26,200509,0.25,-0.025055115609521242,0.10917916259034115,2005-W30,False,True,
6J,2005-12-15,2005-12-15,200603,0.7333333333333334,0.016596446624025332,0.10786308890859288,2005-W50,False,True,
6J,2007-03-01,2007-03-01,200706,0.25,0.021455773525641205,0.10459027946179578,2007-W09,False,True,
6J,2007-08-17,2007-08-17,200709,0.33333333333333326,0.05833477447662756,0.1466434041832385,2007-W33,False,True,
6J,2008-03-18,2008-03-18,200806,0.1499999999999999,0.07914660974981137,0.16069596547732728,2008-W12,False,True,
6J,2008-04-07,2008-04-07,200806,0.21739130434782616,0.0003062005637500243,0.1936718560147176,2008-W15,False,True,
6J,2008-09-24,2008-09-24,200812,0.10000000000000009,0.03656988279758598,0.16176513417479632,2008-W39,False,True,
6J,2008-10-09,2008-10-09,200812,0.4545454545454546,0.06234663025304006,0.23733983135955555,2008-W41,False,True,
6J,2008-11-04,2008-11-04,200812,0.25,0.0039936155314699235,0.24539279434908579,2008-W45,False,True,
6J,2010-05-10,2010-05-10,201006,0.1428571428571428,9.31315483792171e-05,0.24348599740556054,2010-W19,False,True,
6J,2010-06-07,2010-06-07,201009,0.25,-0.0033819327512932614,0.13437072270318812,2010-W23,False,True,
6J,2010-10-15,2010-10-15,201012,0.125,0.05136184975460554,0.03783214306115631,2010-W41,False,True,
6J,2011-08-11,2011-08-11,201109,0.625,0.02923159143420873,0.12386049313390325,2011-W32,False,True,
6J,2011-09-06,2011-09-06,201112,0.23076923076923084,-0.0008523498249551994,0.07547319265505939,2011-W36,False,True,
6J,2011-12-05,2011-12-05,201203,0.23076923076923084,0.005210167702037196,0.04910995551982746,2011-W49,False,True,
6J,2013-02-08,2013-02-08,201303,0.15555555555555545,-0.051451025289680735,0.1343908319640797,2013-W06,False,True,
6J,2013-04-05,2013-04-05,201306,0.1923076923076923,-0.029628946881717067,0.160277562194305,2013-W14,False,True,
6J,2013-06-18,2013-06-18,201309,0.12903225806451624,0.070422464296546,0.16227281860396484,2013-W25,False,True,
6J,2015-01-20,2015-01-20,201506,0.15555555555555545,-0.0003558085787404167,0.0965327030518393,2015-W04,True,True,
6J,2015-08-25,2015-08-25,201512,0.15384615384615374,0.038662972108663415,0.11425365873728413,2015-W35,True,True,
6J,2016-06-17,2016-06-17,201609,0.09259259259259256,0.05361471496853765,0.11348129395281335,2016-W24,False,True,
6J,2016-10-07,2016-10-07,201612,0.09756097560975618,-0.003790405603521796,0.09988847430614749,2016-W40,False,True,
6J,2020-06-24,2020-06-24,202009,0.8,0.004496314180379117,0.07642708253557799,2020-W26,False,True,
6J,2020-10-09,2020-10-09,202012,0.11111111111111116,0.004602086992471666,0.04224924769863137,2020-W41,False,True,
6J,2021-11-30,2021-11-30,202112,0.19999999999999996,,,2021-W48,False,False,selected contract missing 4 of 33 window days (FORWARD fallback also incomplete)
6J,2021-12-17,2021-12-17,202203,0.09649122807017552,0.004097666652165949,0.0885381100724275,2021-W50,False,True,
6J,2022-06-21,2022-06-21,202209,0.10000000000000009,-0.07478224012558789,0.12727970857928328,2022-W25,False,True,
6J,2022-11-14,2022-11-14,202212,0.1272727272727272,0.05941488985513201,0.19073999155725796,2022-W46,False,True,
6J,2022-12-22,2022-12-22,202303,0.19999999999999996,0.04734373891046396,0.20310807421038332,2022-W51,False,True,
GC,2009-12-15,2009-12-15,201002,0.20072007200720066,-0.01563843329540903,0.21735884287914337,2009-W51,False,True,
GC,2010-02-12,2010-02-12,201004,0.2488755622188905,-0.04861540010047959,0.2395096535440113,2010-W06,False,True,
GC,2010-11-16,2010-11-16,201102,0.05857445306986597,0.002016204991706375,0.22078442255886174,2010-W46,False,True,
GC,2011-01-21,2011-01-21,201104,0.11133333333333328,-0.03433593767790734,0.17214379660648363,2011-W03,False,True,
GC,2011-08-11,2011-08-11,201110,0.22222222222222232,0.09569884896031848,0.19403944536606285,2011-W32,False,True,
GC,2011-09-26,2011-09-26,201112,0.2142857142857142,-0.11953720225078895,0.36375395443151953,2011-W39,False,True,
GC,2013-04-16,2013-04-16,201306,0.18518518518518512,-0.14668865278851106,0.3976255606111183,2013-W16,False,True,
GC,2013-06-21,2013-06-21,201308,0.25,-0.07512470411143207,0.28446105677105504,2013-W25,False,True,
GC,2016-02-12,2016-02-12,201604,0.1333333333333333,0.13993154409419603,0.17406367722158944,2016-W06,False,True,
GC,2016-06-27,2016-06-27,201608,0.22222222222222232,0.09137659517487705,0.21952868396416736,2016-W26,False,True,
GC,2016-11-03,2016-11-03,201702,0.11111111111111116,0.03772561779560064,0.0907456012363735,2016-W44,True,True,
GC,2017-08-11,2017-08-11,201710,0.07594936708860756,0.04773381173706935,0.08157737236601335,2017-W32,False,True,
GC,2017-09-08,2017-09-08,201710,0.05882352941176472,0.04446525666379497,0.1043174794576015,2017-W36,False,True,
GC,2018-10-12,2018-10-12,201812,0.09677419354838701,,,2018-W41,False,False,selected contract missing 6 of 33 window days (FORWARD fallback also incomplete)
GC,2019-06-21,2019-06-21,201908,0.08823529411764697,0.09265951948570017,0.10371936417644181,2019-W25,False,True,
GC,2019-08-14,2019-08-14,201910,0.125,0.061109426486628586,0.14380696624459516,2019-W33,False,True,
GC,2020-01-09,2020-01-09,202002,0.11111111111111116,0.0419660482644575,0.16026581501858994,2020-W02,False,True,
GC,2020-02-27,2020-02-27,202004,0.10000000000000009,0.046205471728174824,0.12728029103229688,2020-W09,False,True,
GC,2020-03-17,2020-03-17,202006,0.16666666666666674,-0.11257614544958967,0.2736779205670442,2020-W12,False,True,
